arm,seed,split,failure_counts,episodes,success_rate,feasible_success_rate,failure_distance_mean_m,successful_time_s,successful_path_m,successful_energy_proxy_j,successful_handovers,successful_outage_s,successful_dropped_bits,successful_delay_proxy_mean_s,successful_interference_mean_w,successful_sinr_mean_db,successful_sinr_p05_db,successful_radio_cost_sum,successful_radio_cost_mean,successful_resource_changes,successful_final_buffer_bits
arrival,2101,test,"{'connectivity': 8, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.96,0.96,346.4650957584381,28.015625,544.0167965094248,7683.604535420735,7.984375,0.0,0.0,1.3214261339616173,7.280945018335726e-07,-7.805837182948987,-14.85032019764185,6.285471291264497,0.22214781367064626,14.421875,39839.26477050781
arrival,2102,test,"{'connectivity': 6, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.97,0.97,325.8353184064229,28.0,540.0118209996174,7612.113998570393,9.845360824742269,0.0,0.0,1.2397832888993063,7.167674690518509e-07,-7.66314140423057,-15.02948386152995,6.869383505477051,0.24273101095323635,18.123711340206185,14840.747019974227
arrival,2103,test,"{'connectivity': 5, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.975,0.975,459.21995210647583,27.68717948717949,542.1726801163111,7667.26253130008,8.41025641025641,0.0,0.0,1.479871258448604,7.167814467472907e-07,-7.8890547850193125,-15.460970465342204,6.535774690397018,0.23279837903608597,16.405128205128204,35790.97932692308
arrival,2104,test,"{'connectivity': 7, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.965,0.965,366.4327880144119,27.922279792746114,541.8223991591695,7654.10349665034,9.538860103626943,0.0,0.0,1.4661232811289184,7.175814172332495e-07,-7.683564797584257,-15.322760779622923,6.757405773872834,0.23764490659968146,17.259067357512954,28617.901918717616
arrival,2105,test,"{'connectivity': 5, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.975,0.975,408.2213468551636,28.015384615384615,540.0705526498648,7623.143353114984,7.102564102564102,0.0,0.0,1.7564240771097455,7.273449228752778e-07,-8.105955790250729,-15.401053546025203,6.3962422290967735,0.22560394763317768,13.394871794871795,59831.259775641025
full,2101,test,"{'connectivity': 8, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.96,0.96,506.2171711921692,27.369791666666668,533.8262613614401,7545.644451141357,0.375,0.0,0.0,4.240319194163081,7.314772968285528e-07,-8.990282882625857,-17.04609251767397,4.945274759289695,0.17373567319482705,6.463541666666667,329691.61560058594
full,2102,test,"{'connectivity': 6, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.97,0.97,442.72054322560626,27.77319587628866,540.8644727726572,7643.36846986751,0.38144329896907214,0.0,0.0,4.168736062456145,7.389459859463804e-07,-8.967722237724619,-17.04216110583433,5.10094682348998,0.17533075842683302,5.443298969072165,303382.91466655926
full,2103,test,"{'connectivity': 7, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.965,0.965,536.7443004335676,27.362694300518136,536.1521913992926,7583.131379280683,0.34196891191709844,0.0,0.0,4.05870351701513,7.277641495638419e-07,-8.912241686193436,-16.717488652066244,4.858799907135463,0.17038507621115448,11.22279792746114,290539.86390867876
full,2104,test,"{'connectivity': 5, 'buffer': 1, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.97,0.97,476.12579345703125,27.623711340206185,537.4699043981808,7592.209306539949,0.4793814432989691,0.0,0.0,4.1335954456234925,7.288452200738689e-07,-8.946273272799463,-17.12201115273938,4.956735426336198,0.17401540275595528,3.422680412371134,296666.85881121136
full,2105,test,"{'connectivity': 6, 'buffer': 1, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.965,0.965,412.5005694798061,27.569948186528496,536.2200023275583,7583.537698854437,0.37305699481865284,0.0,0.0,4.3280701794445005,7.370767330217262e-07,-8.948135290738833,-16.965043977134584,5.001157424857379,0.17429727653482058,5.398963730569948,302122.8952801166
straight_rss,,test,"{'connectivity': 6, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.97,0.97,420.44381793340045,27.664948453608247,541.6550825453296,7658.477731606395,9.149484536082474,0.0,0.0,1.0799828982545019,7.058938460617558e-07,-7.398506049642858,-15.235263266514258,6.223215870928543,0.22060516658638943,9.175257731958762,9942.97877738402
straight_radio,,test,"{'connectivity': 4, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.98,0.98,725.3024291992188,27.591836734693878,539.7214863835549,7631.460589973294,0.8112244897959183,0.0,0.0,0.8852144970671773,5.589900518461253e-07,-6.99519144576423,-13.88099408879572,3.2336873483795783,0.11207507378890813,11.38265306122449,97823.81552933673
joint_mpc,,test,"{'connectivity': 7, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.965,0.965,459.8343152999878,28.89637305699482,550.0322158101927,7769.090838022183,0.7564766839378239,0.0,0.0,0.6206783554519092,5.57842624623954e-07,-6.764036291003845,-12.14191445909016,2.6248799530224622,0.0850316231330817,11.854922279792746,79702.55355408031
joint_lookahead,,test,"{'connectivity': 2, 'buffer': 0, 'timeout': 8, 'energy': 0, 'boundary': 0}",200,0.95,0.95,135.9703911781311,32.73684210526316,575.7516448974609,8271.982710988897,0.7947368421052632,0.0,0.0,0.25017333773628136,5.504044254400832e-07,-6.133207673775522,-10.482812344400505,1.9209474593060505,0.05599935985747814,12.357894736842105,60572.640625
arrival,2101,longer_test,"{'connectivity': 31, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.845,0.845,732.4279171113045,61.532544378698226,1378.0052269929965,19334.505350869083,19.976331360946745,0.0,0.0,1.9742793898569435,7.923133775983686e-07,-8.430224497642742,-16.859937340550168,16.310616540685032,0.26649473476437496,34.0887573964497,55111.558293269234
