arm,seed,split,episodes,success_rate,feasible_success_rate,failure_distance_mean_m,successful_time_s,successful_path_m,successful_energy_proxy_j,successful_handovers,successful_outage_s,successful_dropped_bits,successful_delay_proxy_mean_s,successful_interference_mean_w,successful_sinr_mean_db,successful_sinr_p05_db
legacy,1101,test,200,0.27,0.26,133.32206306535087,137.38888888888889,417.8104378029152,14309.422562210648,9.38888888888889,0.12962962962962962,14114.324291087964,0.9274353018388217,7.199784051704248e-07,-6.61853066417906,-13.128840428811532
legacy,1101,longer_test,200,0.0,0.0,678.6808686828613,,,,,,,,,,
legacy,1102,test,200,0.18,0.18,108.34588328221949,141.77777777777777,437.6741472880046,14766.522840711805,8.0,0.027777777777777776,0.0,0.702793986172759,6.890489640130769e-07,-5.955305437246959,-13.093591107262505
legacy,1102,longer_test,200,0.0,0.0,721.5859915161133,,,,,,,,,,
legacy,1103,test,200,0.18,0.17,137.90164737003605,145.36111111111111,453.1104316711426,15154.391628689236,9.305555555555555,0.08333333333333333,16325.963433159723,1.1877314035341742,6.873169991371897e-07,-6.505585544639164,-13.893216477500069
legacy,1103,longer_test,200,0.0,0.0,737.5945266723633,,,,,,,,,,
legacy,1104,test,200,0.025,0.025,135.51835137086036,137.4,361.41717529296875,14159.4130859375,4.2,0.0,0.0,0.46672630695842016,5.881397616072185e-07,-5.649881505966187,-11.355984878540038
legacy,1104,longer_test,200,0.0,0.0,779.5154150390625,,,,,,,,,,
legacy,1105,test,200,0.415,0.405,162.9217120559297,141.97590361445782,495.8983751779579,15007.363493034638,8.903614457831326,0.03614457831325301,3902.2202324924697,0.8144583575096767,7.082169525170946e-07,-6.284685172230365,-13.593902197228857
legacy,1105,longer_test,200,0.0,0.0,696.7669032287598,,,,,,,,,,
terminal_only,1101,test,200,0.0,0.0,82.04381097793579,,,,,,,,,,
terminal_only,1101,longer_test,200,0.0,0.0,750.3449786376954,,,,,,,,,,
terminal_only,1102,test,200,0.0,0.0,102.01900077581405,,,,,,,,,,
terminal_only,1102,longer_test,200,0.0,0.0,825.8495440673828,,,,,,,,,,
terminal_only,1103,test,200,0.0,0.0,85.95605719089508,,,,,,,,,,
terminal_only,1103,longer_test,200,0.0,0.0,728.5594833374023,,,,,,,,,,
terminal_only,1104,test,200,0.0,0.0,80.3374888753891,,,,,,,,,,
terminal_only,1104,longer_test,200,0.0,0.0,823.0359587097169,,,,,,,,,,
terminal_only,1105,test,200,0.0,0.0,80.55700532913208,,,,,,,,,,
terminal_only,1105,longer_test,200,0.0,0.0,801.2005708312988,,,,,,,,,,
reward_only,1101,test,200,1.0,0.995,,54.25,575.2940570831299,8352.652099609375,4.02,0.085,260.194931640625,2.298903852562059,7.365148264320811e-07,-7.837324613332749,-16.53144495010376
reward_only,1101,longer_test,200,1.0,0.96,,100.105,1368.612449645996,19788.95865722656,7.95,0.265,4497.2116015625,2.8211265560770897,7.507569538582232e-07,-8.361346554756164,-17.71090159416199
reward_only,1102,test,200,1.0,1.0,,50.225,581.1038274383545,8189.583096923828,4.05,0.085,0.0,2.6708450191967446,7.393483424037449e-07,-7.945350348353386,-16.636812369823456
reward_only,1102,longer_test,200,1.0,0.955,,89.715,1376.3714218139648,19281.451586914063,8.1,0.29,6080.86763305664,3.4008507615035968,7.558649016877788e-07,-8.651846013069154,-18.126382689476014
reward_only,1103,test,200,1.0,0.975,,55.57,581.3434227752686,8467.405668945312,4.425,0.085,7674.500615234375,2.538059005528533,7.345671062575825e-07,-7.871547693014145,-16.659046442508696
