lane,scenario_id,success,recorded_feasible_success,outcome,time_s,final_distance_m,final_speed_mps,path_m,straight_distance_m,energy_proxy_j,handovers,outage_s,dropped_bits,delay_proxy_mean_s,interference_mean_w,sinr_mean_db,sinr_p05_db,rss_mean_dbm,raw_return
0,42003_0000,True,True,success,68.0,0.20915372669696808,0.16142165660858154,1552.813232421875,1552.6043701171875,21804.185546875,5,0.0,0.0,2.2719006520449456,9.304588589282716e-07,-9.193473815917969,-18.524877548217773,-39.632354736328125,36.070263627916574
1,42003_0001,True,False,success,75.0,0.7168160676956177,0.0,1715.267822265625,1714.55029296875,24124.416015625,10,5.0,498090.83868408203,58746.308691039485,7.54350285963786e-07,-19.032352447509766,-150.0,-46.93333435058594,37.14913716353476
2,42003_0002,True,True,success,59.0,0.5314728021621704,5.331201577973843e-07,1324.188720703125,1323.6571044921875,18615.994140625,7,0.0,0.0,2.599976115749549,9.088709387053652e-07,-9.43218994140625,-18.0562801361084,-39.966102600097656,32.57985409907997
3,42003_0003,True,True,success,67.0,0.8008810877799988,0.0,1517.883056640625,1517.082763671875,21351.046875,8,0.0,0.0,1.6809383578904307,9.889962772980816e-07,-8.495821952819824,-19.65916633605957,-38.86567306518555,35.79453104361892
4,42003_0004,True,True,success,65.0,0.7474536895751953,2.384185791015625e-07,1465.8538818359375,1465.106689453125,20630.236328125,7,0.0,0.0,2.3929634331510616,8.578564968677081e-07,-9.078301429748535,-21.17530632019043,-39.876922607421875,34.90375407785177
5,42003_0005,True,False,success,50.0,0.7845176458358765,2.6656007889869215e-07,1094.9454345703125,1094.1612548828125,15422.8896484375,2,3.0,0.0,24000.194764621257,4.581470085440742e-07,-13.994118690490723,-89.94593811035156,-44.380001068115234,30.71916840225458
6,42003_0006,True,True,success,67.0,0.17463906109333038,1.1368440389633179,1533.53076171875,1533.7052001953125,21514.50390625,10,1.0,0.0,15391.787901159028,7.065338801577304e-07,-10.596117973327637,-21.22658920288086,-41.761192321777344,35.63149497658014
7,42003_0007,True,True,success,56.0,0.6269314885139465,0.0,1239.05615234375,1238.429443359375,17462.640625,3,0.0,0.0,1.3970366166904569,6.566729032288419e-07,-8.344395637512207,-17.726354598999023,-40.42856979370117,32.080637864768505
8,42003_0008,True,True,success,47.0,0.0714607760310173,0.6272609829902649,1030.5062255859375,1030.4351806640625,14481.96875,4,0.0,0.0,7.294383191047831,1.0498711779465784e-06,-11.007137298583984,-21.060667037963867,-40.8510627746582,28.710983466356993
9,42003_0009,True,True,success,57.0,0.23393478989601135,1.2355848550796509,1284.1307373046875,1284.364990234375,18021.0546875,6,0.0,0.0,11.66461042132588,1.1293342068759222e-06,-10.563407897949219,-19.477102279663086,-40.175437927246094,31.951750684529543
10,42003_0010,True,True,success,48.0,0.015693513676524162,0.832976758480072,1056.7181396484375,1056.734130859375,14844.8369140625,4,1.0,0.0,4166.805240458499,2.1251037433482148e-07,-8.883170127868652,-10.051248550415039,-44.6875,30.423287101089954
11,42003_0011,True,True,success,47.0,0.3468499481678009,1.4085140228271484,1035.1815185546875,1035.5284423828125,14532.734375,2,0.0,0.0,1.4452470748665485,6.129576705495523e-07,-7.251802921295166,-16.519756317138672,-39.82978820800781,30.05697461590171
