arm,seed,split,failure_counts,episodes,success_rate,feasible_success_rate,failure_distance_mean_m,successful_time_s,successful_path_m,successful_energy_proxy_j,successful_handovers,successful_outage_s,successful_dropped_bits,successful_delay_proxy_mean_s,successful_interference_mean_w,successful_sinr_mean_db,successful_sinr_p05_db,successful_radio_cost_sum,successful_radio_cost_mean,successful_resource_changes,successful_final_buffer_bits
original,2101,test,"{'connectivity': 6, 'buffer': 1, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.965,0.965,251.22304316929407,31.580310880829014,556.9581875183421,7797.425435911188,7.098445595854923,0.0,0.0,1.607845141071491,7.547782859969266e-07,-8.326070547103882,-15.002905010559399,7.00069325359515,0.2183242342476299,14.844559585492227,62402.27744494819
original,2102,test,"{'connectivity': 4, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.98,0.98,192.67702865600586,31.709183673469386,558.2377330235073,7785.278499681122,4.744897959183674,0.0,0.0,2.644378053535741,7.610959360229611e-07,-8.919666996415781,-15.628116451964086,7.3838597544246225,0.22694508469310967,12.244897959183673,171820.88632015305
original,2103,test,"{'connectivity': 10, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.95,0.95,302.791068649292,32.1578947368421,554.415840389854,7744.266159539474,9.48421052631579,0.0,0.0,1.2687006671159842,7.460005184532294e-07,-7.855937835417296,-15.166690861551386,7.591185015466908,0.23026587443812702,14.98421052631579,30494.717475328947
original,2104,test,"{'connectivity': 12, 'buffer': 0, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.94,0.94,257.2320327758789,31.159574468085108,552.6573304521277,7716.606508944897,9.686170212765957,0.0,0.0,1.135077355594903,7.433461555443496e-07,-7.634847237074629,-15.317094579656073,7.080670777918451,0.22035750285427017,17.377659574468087,15499.767702792553
original,2105,test,"{'connectivity': 8, 'buffer': 2, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.95,0.95,343.1312328338623,31.268421052631577,553.438568436472,7727.631205026727,3.721052631578947,0.0,0.0,3.1507253974405414,7.569782697500039e-07,-8.881492413972554,-16.412693071365357,6.864533043353769,0.2152243056298968,8.742105263157894,228182.48725328947
full,2101,test,"{'connectivity': 5, 'buffer': 1, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.97,0.97,322.96933873494464,28.329896907216494,558.3347904165995,7885.973412582554,0.4690721649484536,0.0,0.0,5.9279556026636415,7.416893733306255e-07,-9.275156501642208,-18.424912600173165,5.301553605602445,0.18037251951021815,6.221649484536083,321066.832876933
full,2102,test,"{'connectivity': 8, 'buffer': 2, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.95,0.95,253.03820776939392,28.157894736842106,551.6656241165964,7789.611928196957,0.4,0.0,0.0,5.8059660308758625,7.456882831428329e-07,-9.304038195861013,-18.342288526735807,5.226990823173076,0.1801577036486551,5.447368421052632,338719.3934621711
full,2103,test,"{'connectivity': 7, 'buffer': 2, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.955,0.955,316.27982149066196,28.020942408376964,552.3610727999223,7809.779037395697,0.3769633507853403,0.0,0.0,5.937672776801801,7.433824844410643e-07,-9.300723625727349,-18.560576593688644,5.303755248501372,0.1838004609850869,11.434554973821989,333538.80464659684
full,2104,test,"{'connectivity': 7, 'buffer': 2, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.955,0.955,260.8921851846907,28.42408376963351,557.2496802045413,7869.43408586592,0.5968586387434555,0.0,0.0,5.719705808818576,7.415836379602918e-07,-9.24732678785374,-18.38341638180598,5.355264911725943,0.1820504325797893,3.06282722513089,321060.72083606024
full,2105,test,"{'connectivity': 7, 'buffer': 2, 'timeout': 0, 'energy': 0, 'boundary': 0}",200,0.955,0.955,293.27058568265704,28.408376963350786,555.2940875947163,7850.5574075589,0.418848167539267,0.0,0.0,5.93565730098324,7.49707957354897e-07,-9.3759964395568,-18.219515314901063,5.4359949364350655,0.18514808364086846,6.0837696335078535,327485.0172202225
